#E/Ry     ,E-EF/eV   ,n_doped/cm-3  ,logn/cm-3     ,S/VK-1    ,sigma_t/Sm-1s-1,log_sigma_t/Sm-1s-1,kappael_t/Wm-1K-1s-1,log_kappael_t/Wm-1K-1s-1,mstar/me  
0.177390,-3.535122,7.998069e+22,22.902985,-6.731243e-06,4.297834e+20,20.633250,2.100823e+15,15.322390,-0.953121
0.177590,-3.532401,7.994095e+22,22.902769,-6.706431e-06,4.313939e+20,20.634874,2.108709e+15,15.324017,-0.953451
0.177790,-3.529680,7.990111e+22,22.902553,-6.681980e-06,4.330034e+20,20.636491,2.116624e+15,15.325644,-0.953793
0.177990,-3.526959,7.986119e+22,22.902336,-6.658129e-06,4.346116e+20,20.638101,2.124569e+15,15.327271,-0.954150
0.178190,-3.524238,7.982116e+22,22.902118,-6.635202e-06,4.362187e+20,20.639704,2.132547e+15,15.328899,-0.954523
0.178390,-3.521517,7.978105e+22,22.901900,-6.613587e-06,4.378250e+20,20.641301,2.140556e+15,15.330526,-0.954914
0.178590,-3.518795,7.974084e+22,22.901681,-6.593671e-06,4.394309e+20,20.642891,2.148591e+15,15.332154,-0.955323
0.178790,-3.516074,7.970055e+22,22.901461,-6.575758e-06,4.410375e+20,20.644476,2.156645e+15,15.333779,-0.955748
0.178990,-3.513353,7.966015e+22,22.901241,-6.559982e-06,4.426458e+20,20.646056,2.164706e+15,15.335399,-0.956190
0.179190,-3.510632,7.961967e+22,22.901020,-6.546254e-06,4.442572e+20,20.647634,2.172763e+15,15.337012,-0.956647
0.179390,-3.507911,7.957909e+22,22.900799,-6.534238e-06,4.458728e+20,20.649211,2.180802e+15,15.338616,-0.957119
0.179590,-3.505190,7.953841e+22,22.900577,-6.523389e-06,4.474935e+20,20.650787,2.188814e+15,15.340209,-0.957603
0.179790,-3.502469,7.949765e+22,22.900354,-6.513024e-06,4.491200e+20,20.652362,2.196795e+15,15.341789,-0.958100
0.179990,-3.499747,7.945678e+22,22.900131,-6.502430e-06,4.507521e+20,20.653938,2.204743e+15,15.343358,-0.958609
0.180190,-3.497026,7.941582e+22,22.899907,-6.490970e-06,4.523895e+20,20.655513,2.212666e+15,15.344916,-0.959129
0.180390,-3.494305,7.937476e+22,22.899682,-6.478182e-06,4.540313e+20,20.657086,2.220573e+15,15.346465,-0.959660
0.180590,-3.491584,7.933361e+22,22.899457,-6.463829e-06,4.556763e+20,20.658656,2.228476e+15,15.348008,-0.960203
0.180790,-3.488863,7.929236e+22,22.899231,-6.447917e-06,4.573233e+20,20.660223,2.236389e+15,15.349547,-0.960756
0.180990,-3.486142,7.925101e+22,22.899005,-6.430658e-06,4.589713e+20,20.661785,2.244321e+15,15.351085,-0.961321
0.181190,-3.483421,7.920956e+22,22.898778,-6.412412e-06,4.606194e+20,20.663342,2.252282e+15,15.352623,-0.961898
0.181390,-3.480699,7.916802e+22,22.898550,-6.393608e-06,4.622672e+20,20.664893,2.260275e+15,15.354161,-0.962486
0.181590,-3.477978,7.912637e+22,22.898321,-6.374673e-06,4.639146e+20,20.666438,2.268302e+15,15.355701,-0.963087
0.181790,-3.475257,7.908463e+22,22.898092,-6.355977e-06,4.655616e+20,20.667977,2.276361e+15,15.357241,-0.963701
0.181990,-3.472536,7.904280e+22,22.897862,-6.337811e-06,4.672084e+20,20.669511,2.284448e+15,15.358781,-0.964328
0.182190,-3.469815,7.900086e+22,22.897632,-6.320376e-06,4.688556e+20,20.671039,2.292558e+15,15.360320,-0.964967
0.182390,-3.467094,7.895883e+22,22.897401,-6.303795e-06,4.705036e+20,20.672563,2.300688e+15,15.361858,-0.965619
0.182590,-3.464373,7.891670e+22,22.897169,-6.288128e-06,4.721529e+20,20.674083,2.308832e+15,15.363392,-0.966283
0.182790,-3.461651,7.887447e+22,22.896936,-6.273378e-06,4.738039e+20,20.675599,2.316986e+15,15.364923,-0.966956
0.182990,-3.458930,7.883214e+22,22.896703,-6.259488e-06,4.754572e+20,20.677111,2.325144e+15,15.366450,-0.967638
0.183190,-3.456209,7.878971e+22,22.896470,-6.246344e-06,4.771132e+20,20.678621,2.333303e+15,15.367971,-0.968327
0.183390,-3.453488,7.874718e+22,22.896235,-6.233767e-06,4.787724e+20,20.680129,2.341458e+15,15.369486,-0.969020
0.183590,-3.450767,7.870456e+22,22.896000,-6.221521e-06,4.804349e+20,20.681635,2.349608e+15,15.370995,-0.969717
0.183790,-3.448046,7.866183e+22,22.895764,-6.209339e-06,4.821009e+20,20.683138,2.357750e+15,15.372498,-0.970414
0.183990,-3.445325,7.861900e+22,22.895528,-6.196957e-06,4.837703e+20,20.684639,2.365887e+15,15.373994,-0.971109
0.184190,-3.442603,7.857607e+22,22.895290,-6.184161e-06,4.854427e+20,20.686138,2.374023e+15,15.375485,-0.971800
0.184390,-3.439882,7.853304e+22,22.895052,-6.170824e-06,4.871177e+20,20.687634,2.382162e+15,15.376971,-0.972481
0.184590,-3.437161,7.848991e+22,22.894814,-6.156934e-06,4.887947e+20,20.689126,2.390312e+15,15.378455,-0.973149
0.184790,-3.434440,7.844667e+22,22.894575,-6.142598e-06,4.904731e+20,20.690615,2.398479e+15,15.379936,-0.973802
0.184990,-3.431719,7.840334e+22,22.894335,-6.128019e-06,4.921526e+20,20.692100,2.406666e+15,15.381416,-0.974436
0.185190,-3.428998,7.835990e+22,22.894094,-6.113453e-06,4.938331e+20,20.693580,2.414875e+15,15.382895,-0.975051
0.185390,-3.426277,7.831636e+22,22.893852,-6.099147e-06,4.955146e+20,20.695056,2.423105e+15,15.384372,-0.975645
0.185590,-3.423556,7.827271e+22,22.893610,-6.085290e-06,4.971974e+20,20.696529,2.431352e+15,15.385848,-0.976220
0.185790,-3.420834,7.822897e+22,22.893368,-6.071963e-06,4.988821e+20,20.697998,2.439611e+15,15.387321,-0.976779
0.185990,-3.418113,7.818512e+22,22.893124,-6.059132e-06,5.005689e+20,20.699464,2.447876e+15,15.388789,-0.977325
0.186190,-3.415392,7.814117e+22,22.892880,-6.046661e-06,5.022585e+20,20.700927,2.456143e+15,15.390254,-0.977864
0.186390,-3.412671,7.809712e+22,22.892635,-6.034354e-06,5.039508e+20,20.702388,2.464410e+15,15.391713,-0.978399
0.186590,-3.409950,7.805297e+22,22.892389,-6.022022e-06,5.056458e+20,20.703846,2.472678e+15,15.393167,-0.978937
0.186790,-3.407229,7.800871e+22,22.892143,-6.009533e-06,5.073434e+20,20.705302,2.480949e+15,15.394618,-0.979482
0.186990,-3.404508,7.796435e+22,22.891896,-5.996856e-06,5.090431e+20,20.706755,2.489227e+15,15.396065,-0.980040
0.187190,-3.401786,7.791989e+22,22.891648,-5.984068e-06,5.107447e+20,20.708204,2.497516e+15,15.397508,-0.980614
0.187390,-3.399065,7.787532e+22,22.891400,-5.971320e-06,5.124481e+20,20.709650,2.505818e+15,15.398950,-0.981208
0.187590,-3.396344,7.783065e+22,22.891151,-5.958786e-06,5.141532e+20,20.711093,2.514131e+15,15.400388,-0.981824
0.187790,-3.393623,7.778587e+22,22.890901,-5.946593e-06,5.158605e+20,20.712532,2.522451e+15,15.401823,-0.982466
0.187990,-3.390902,7.774099e+22,22.890650,-5.934758e-06,5.175705e+20,20.713969,2.530771e+15,15.403253,-0.983135
0.188190,-3.388181,7.769601e+22,22.890399,-5.923160e-06,5.192835e+20,20.715405,2.539084e+15,15.404677,-0.983831
0.188390,-3.385460,7.765091e+22,22.890147,-5.911539e-06,5.210001e+20,20.716838,2.547384e+15,15.406094,-0.984556
0.188590,-3.382738,7.760571e+22,22.889894,-5.899541e-06,5.227203e+20,20.718269,2.555667e+15,15.407504,-0.985309
0.188790,-3.380017,7.756040e+22,22.889640,-5.886790e-06,5.244439e+20,20.719699,2.563936e+15,15.408907,-0.986092
0.188990,-3.377296,7.751498e+22,22.889386,-5.872970e-06,5.261703e+20,20.721126,2.572196e+15,15.410304,-0.986903
0.189190,-3.374575,7.746944e+22,22.889130,-5.857898e-06,5.278985e+20,20.722550,2.580454e+15,15.411696,-0.987740
0.189390,-3.371854,7.742379e+22,22.888874,-5.841571e-06,5.296276e+20,20.723971,2.588722e+15,15.413085,-0.988601
0.189590,-3.369133,7.737803e+22,22.888618,-5.824156e-06,5.313565e+20,20.725386,2.597007e+15,15.414473,-0.989482
0.189790,-3.366412,7.733215e+22,22.888360,-5.805953e-06,5.330847e+20,20.726796,2.605316e+15,15.415860,-0.990380
0.189990,-3.363690,7.728616e+22,22.888102,-5.787314e-06,5.348118e+20,20.728201,2.613650e+15,15.417247,-0.991291
0.190190,-3.360969,7.724004e+22,22.887843,-5.768559e-06,5.365377e+20,20.729600,2.622008e+15,15.418634,-0.992211
0.190390,-3.358248,7.719381e+22,22.887582,-5.749905e-06,5.382628e+20,20.730994,2.630385e+15,15.420019,-0.993136
0.190590,-3.355527,7.714746e+22,22.887322,-5.731428e-06,5.399874e+20,20.732384,2.638776e+15,15.421402,-0.994065
0.190790,-3.352806,7.710099e+22,22.887060,-5.713078e-06,5.417119e+20,20.733768,2.647174e+15,15.422782,-0.994995
0.190990,-3.350085,7.705440e+22,22.886797,-5.694724e-06,5.434364e+20,20.735149,2.655578e+15,15.424159,-0.995928
0.191190,-3.347364,7.700768e+22,22.886534,-5.676230e-06,5.451606e+20,20.736524,2.663991e+15,15.425533,-0.996862
0.191390,-3.344642,7.696084e+22,22.886270,-5.657529e-06,5.468842e+20,20.737895,2.672416e+15,15.426904,-0.997799
0.191590,-3.341921,7.691388e+22,22.886005,-5.638677e-06,5.486067e+20,20.739261,2.680862e+15,15.428274,-0.998741
0.191790,-3.339200,7.686679e+22,22.885739,-5.619869e-06,5.503277e+20,20.740621,2.689333e+15,15.429645,-0.999689
0.191990,-3.336479,7.681957e+22,22.885472,-5.601416e-06,5.520468e+20,20.741976,2.697835e+15,15.431015,-1.000644
0.192190,-3.333758,7.677222e+22,22.885204,-5.583691e-06,5.537641e+20,20.743325,2.706369e+15,15.432387,-1.001610
0.192390,-3.331037,7.672475e+22,22.884935,-5.567053e-06,5.554801e+20,20.744668,2.714931e+15,15.433759,-1.002588
0.192590,-3.328316,7.667715e+22,22.884666,-5.551773e-06,5.571955e+20,20.746008,2.723515e+15,15.435130,-1.003579
0.192790,-3.325594,7.662942e+22,22.884396,-5.537977e-06,5.589114e+20,20.747343,2.732112e+15,15.436498,-1.004586
0.192990,-3.322873,7.658155e+22,22.884124,-5.525625e-06,5.606289e+20,20.748675,2.740710e+15,15.437863,-1.005610
0.193190,-3.320152,7.653355e+22,22.883852,-5.514521e-06,5.623488e+20,20.750006,2.749302e+15,15.439222,-1.006651
0.193390,-3.317431,7.648542e+22,22.883579,-5.504360e-06,5.640719e+20,20.751334,2.757881e+15,15.440576,-1.007709
0.193590,-3.314710,7.643716e+22,22.883305,-5.494789e-06,5.657985e+20,20.752662,2.766448e+15,15.441922,-1.008784
0.193790,-3.311989,7.638875e+22,22.883029,-5.485482e-06,5.675287e+20,20.753988,2.775002e+15,15.443263,-1.009875
0.193990,-3.309268,7.634021e+22,22.882753,-5.476195e-06,5.692621e+20,20.755312,2.783550e+15,15.444599,-1.010981
0.194190,-3.306546,7.629152e+22,22.882476,-5.466799e-06,5.709984e+20,20.756635,2.792100e+15,15.445931,-1.012103
0.194390,-3.303825,7.624270e+22,22.882198,-5.457283e-06,5.727371e+20,20.757955,2.800656e+15,15.447260,-1.013241
0.194590,-3.301104,7.619373e+22,22.881919,-5.447728e-06,5.744778e+20,20.759273,2.809225e+15,15.448586,-1.014395
0.194790,-3.298383,7.614462e+22,22.881639,-5.438261e-06,5.762204e+20,20.760589,2.817809e+15,15.449912,-1.015568
0.194990,-3.295662,7.609535e+22,22.881358,-5.429012e-06,5.779649e+20,20.761901,2.826410e+15,15.451235,-1.016763
0.195190,-3.292941,7.604594e+22,22.881076,-5.420070e-06,5.797116e+20,20.763212,2.835026e+15,15.452557,-1.017980
0.195390,-3.290220,7.599637e+22,22.880793,-5.411468e-06,5.814605e+20,20.764520,2.843656e+15,15.453877,-1.019223
0.195590,-3.287499,7.594664e+22,22.880509,-5.403191e-06,5.832120e+20,20.765826,2.852299e+15,15.455195,-1.020494
0.195790,-3.284777,7.589676e+22,22.880223,-5.395198e-06,5.849662e+20,20.767131,2.860954e+15,15.456511,-1.021793
0.195990,-3.282056,7.584671e+22,22.879937,-5.387458e-06,5.867231e+20,20.768433,2.869622e+15,15.457825,-1.023121
0.196190,-3.279335,7.579650e+22,22.879649,-5.379974e-06,5.884826e+20,20.769734,2.878305e+15,15.459137,-1.024477
