#E/Ry     ,E-EF/eV   ,n_doped/cm-3  ,logn/cm-3     ,S/VK-1    ,sigma_t/Sm-1s-1,log_sigma_t/Sm-1s-1,kappael_t/Wm-1K-1s-1,log_kappael_t/Wm-1K-1s-1,mstar/me  
0.177390,-3.535122,7.996223e+22,22.902885,-1.344493e-05,4.300605e+20,20.633530,4.217327e+15,15.625037,-0.954941
0.177590,-3.532401,7.992245e+22,22.902669,-1.340923e-05,4.316718e+20,20.635154,4.233047e+15,15.626653,-0.955358
0.177790,-3.529680,7.988258e+22,22.902452,-1.337373e-05,4.332848e+20,20.636773,4.248788e+15,15.628265,-0.955781
0.177990,-3.526959,7.984261e+22,22.902235,-1.333842e-05,4.348994e+20,20.638389,4.264550e+15,15.629873,-0.956211
0.178190,-3.524238,7.980255e+22,22.902017,-1.330334e-05,4.365156e+20,20.640000,4.280332e+15,15.631478,-0.956648
0.178390,-3.521517,7.976239e+22,22.901798,-1.326847e-05,4.381336e+20,20.641607,4.296135e+15,15.633078,-0.957092
0.178590,-3.518795,7.972214e+22,22.901579,-1.323383e-05,4.397532e+20,20.643209,4.311958e+15,15.634675,-0.957543
0.178790,-3.516074,7.968180e+22,22.901359,-1.319942e-05,4.413745e+20,20.644807,4.327800e+15,15.636267,-0.958002
0.178990,-3.513353,7.964135e+22,22.901139,-1.316524e-05,4.429975e+20,20.646401,4.343662e+15,15.637856,-0.958468
0.179190,-3.510632,7.960082e+22,22.900918,-1.313130e-05,4.446221e+20,20.647991,4.359543e+15,15.639441,-0.958942
0.179390,-3.507911,7.956019e+22,22.900696,-1.309760e-05,4.462486e+20,20.649577,4.375442e+15,15.641022,-0.959423
0.179590,-3.505190,7.951946e+22,22.900473,-1.306413e-05,4.478768e+20,20.651159,4.391360e+15,15.642599,-0.959912
0.179790,-3.502469,7.947864e+22,22.900250,-1.303089e-05,4.495067e+20,20.652736,4.407295e+15,15.644172,-0.960409
0.179990,-3.499747,7.943772e+22,22.900027,-1.299788e-05,4.511384e+20,20.654310,4.423248e+15,15.645741,-0.960914
0.180190,-3.497026,7.939671e+22,22.899802,-1.296509e-05,4.527719e+20,20.655879,4.439218e+15,15.647307,-0.961426
0.180390,-3.494305,7.935559e+22,22.899578,-1.293251e-05,4.544072e+20,20.657445,4.455206e+15,15.648868,-0.961946
0.180590,-3.491584,7.931438e+22,22.899352,-1.290015e-05,4.560443e+20,20.659007,4.471211e+15,15.650425,-0.962473
0.180790,-3.488863,7.927308e+22,22.899126,-1.286799e-05,4.576831e+20,20.660565,4.487233e+15,15.651979,-0.963008
0.180990,-3.486142,7.923168e+22,22.898899,-1.283604e-05,4.593238e+20,20.662119,4.503272e+15,15.653528,-0.963551
0.181190,-3.483421,7.919017e+22,22.898671,-1.280428e-05,4.609663e+20,20.663669,4.519328e+15,15.655074,-0.964101
0.181390,-3.480699,7.914857e+22,22.898443,-1.277273e-05,4.626106e+20,20.665216,4.535400e+15,15.656616,-0.964657
0.181590,-3.477978,7.910688e+22,22.898214,-1.274136e-05,4.642567e+20,20.666758,4.551489e+15,15.658154,-0.965221
0.181790,-3.475257,7.906508e+22,22.897985,-1.271018e-05,4.659047e+20,20.668297,4.567595e+15,15.659688,-0.965792
0.181990,-3.472536,7.902319e+22,22.897755,-1.267918e-05,4.675545e+20,20.669832,4.583718e+15,15.661218,-0.966369
0.182190,-3.469815,7.898119e+22,22.897524,-1.264838e-05,4.692060e+20,20.671364,4.599857e+15,15.662744,-0.966953
0.182390,-3.467094,7.893910e+22,22.897292,-1.261775e-05,4.708595e+20,20.672891,4.616013e+15,15.664267,-0.967542
0.182590,-3.464373,7.889690e+22,22.897060,-1.258730e-05,4.725147e+20,20.674415,4.632184e+15,15.665786,-0.968138
0.182790,-3.461651,7.885461e+22,22.896827,-1.255702e-05,4.741719e+20,20.675936,4.648372e+15,15.667301,-0.968740
0.182990,-3.458930,7.881221e+22,22.896594,-1.252691e-05,4.758308e+20,20.677453,4.664577e+15,15.668812,-0.969347
0.183190,-3.456209,7.876972e+22,22.896359,-1.249697e-05,4.774916e+20,20.678966,4.680797e+15,15.670320,-0.969959
0.183390,-3.453488,7.872712e+22,22.896124,-1.246719e-05,4.791543e+20,20.680475,4.697032e+15,15.671824,-0.970577
0.183590,-3.450767,7.868442e+22,22.895889,-1.243757e-05,4.808188e+20,20.681981,4.713284e+15,15.673324,-0.971200
0.183790,-3.448046,7.864162e+22,22.895652,-1.240809e-05,4.824852e+20,20.683484,4.729550e+15,15.674820,-0.971828
0.183990,-3.445325,7.859872e+22,22.895415,-1.237876e-05,4.841534e+20,20.684983,4.745832e+15,15.676312,-0.972460
0.184190,-3.442603,7.855571e+22,22.895178,-1.234957e-05,4.858235e+20,20.686479,4.762130e+15,15.677801,-0.973098
0.184390,-3.439882,7.851260e+22,22.894939,-1.232051e-05,4.874955e+20,20.687971,4.778442e+15,15.679286,-0.973740
0.184590,-3.437161,7.846939e+22,22.894700,-1.229158e-05,4.891693e+20,20.689459,4.794769e+15,15.680768,-0.974387
0.184790,-3.434440,7.842607e+22,22.894460,-1.226277e-05,4.908450e+20,20.690944,4.811112e+15,15.682245,-0.975039
0.184990,-3.431719,7.838265e+22,22.894220,-1.223406e-05,4.925226e+20,20.692426,4.827469e+15,15.683720,-0.975696
0.185190,-3.428998,7.833912e+22,22.893979,-1.220547e-05,4.942020e+20,20.693904,4.843842e+15,15.685190,-0.976358
0.185390,-3.426277,7.829549e+22,22.893737,-1.217697e-05,4.958832e+20,20.695379,4.860229e+15,15.686657,-0.977025
0.185590,-3.423556,7.825175e+22,22.893494,-1.214856e-05,4.975663e+20,20.696851,4.876631e+15,15.688120,-0.977698
0.185790,-3.420834,7.820790e+22,22.893251,-1.212024e-05,4.992512e+20,20.698319,4.893049e+15,15.689580,-0.978377
0.185990,-3.418113,7.816395e+22,22.893006,-1.209200e-05,5.009380e+20,20.699784,4.909481e+15,15.691036,-0.979062
0.186190,-3.415392,7.811989e+22,22.892762,-1.206384e-05,5.026265e+20,20.701245,4.925929e+15,15.692488,-0.979754
0.186390,-3.412671,7.807572e+22,22.892516,-1.203573e-05,5.043168e+20,20.702703,4.942392e+15,15.693937,-0.980452
0.186590,-3.409950,7.803144e+22,22.892270,-1.200769e-05,5.060089e+20,20.704158,4.958870e+15,15.695383,-0.981159
0.186790,-3.407229,7.798705e+22,22.892023,-1.197971e-05,5.077028e+20,20.705610,4.975365e+15,15.696825,-0.981873
0.186990,-3.404508,7.794255e+22,22.891775,-1.195177e-05,5.093984e+20,20.707058,4.991875e+15,15.698264,-0.982595
0.187190,-3.401786,7.789794e+22,22.891526,-1.192387e-05,5.110957e+20,20.708502,5.008402e+15,15.699699,-0.983326
0.187390,-3.399065,7.785322e+22,22.891277,-1.189602e-05,5.127947e+20,20.709944,5.024945e+15,15.701131,-0.984067
0.187590,-3.396344,7.780838e+22,22.891026,-1.186821e-05,5.144954e+20,20.711381,5.041505e+15,15.702560,-0.984817
0.187790,-3.393623,7.776343e+22,22.890775,-1.184043e-05,5.161977e+20,20.712816,5.058083e+15,15.703986,-0.985577
0.187990,-3.390902,7.771837e+22,22.890524,-1.181268e-05,5.179016e+20,20.714247,5.074679e+15,15.705409,-0.986348
0.188190,-3.388181,7.767319e+22,22.890271,-1.178497e-05,5.196070e+20,20.715675,5.091293e+15,15.706828,-0.987129
0.188390,-3.385460,7.762789e+22,22.890018,-1.175729e-05,5.213140e+20,20.717099,5.107927e+15,15.708245,-0.987922
0.188590,-3.382738,7.758248e+22,22.889764,-1.172965e-05,5.230225e+20,20.718520,5.124580e+15,15.709658,-0.988726
0.188790,-3.380017,7.753694e+22,22.889509,-1.170206e-05,5.247325e+20,20.719938,5.141254e+15,15.711069,-0.989542
0.188990,-3.377296,7.749129e+22,22.889253,-1.167451e-05,5.264439e+20,20.721352,5.157949e+15,15.712477,-0.990371
0.189190,-3.374575,7.744551e+22,22.888996,-1.164702e-05,5.281567e+20,20.722763,5.174666e+15,15.713882,-0.991211
0.189390,-3.371854,7.739962e+22,22.888739,-1.161960e-05,5.298709e+20,20.724170,5.191406e+15,15.715285,-0.992064
0.189590,-3.369133,7.735359e+22,22.888480,-1.159227e-05,5.315864e+20,20.725574,5.208169e+15,15.716685,-0.992930
0.189790,-3.366412,7.730745e+22,22.888221,-1.156503e-05,5.333033e+20,20.726974,5.224956e+15,15.718083,-0.993809
0.189990,-3.363690,7.726117e+22,22.887961,-1.153789e-05,5.350214e+20,20.728371,5.241768e+15,15.719478,-0.994700
0.190190,-3.360969,7.721477e+22,22.887700,-1.151089e-05,5.367408e+20,20.729765,5.258605e+15,15.720871,-0.995605
0.190390,-3.358248,7.716824e+22,22.887439,-1.148404e-05,5.384614e+20,20.731155,5.275468e+15,15.722261,-0.996524
0.190590,-3.355527,7.712157e+22,22.887176,-1.145735e-05,5.401833e+20,20.732541,5.292356e+15,15.723649,-0.997456
0.190790,-3.352806,7.707478e+22,22.886912,-1.143085e-05,5.419064e+20,20.733924,5.309272e+15,15.725035,-0.998401
