#E/Ry      E-EF/eV    n_doped/cm-3   logn/cm-3      S/VK-1     sigma_t/Sm-1s-1 log_sigma_t/Sm-1s-1 kappael_t/Wm-1K-1s-1 log_kappael_t/Wm-1K-1s-1 mstar/me  
0.453190 0.217329 4.239537e+16 16.627318 -6.362493e-05 7.446634e+17 17.871960 1.240787e+14 14.093697 0.132060
0.453390 0.220050 1.654309e+17 17.218617 -7.805723e-05 7.572321e+17 17.879229 1.233141e+14 14.091013 0.127217
0.453590 0.222772 2.884664e+17 17.460095 -9.181946e-05 7.711330e+17 17.887129 1.226466e+14 14.088656 0.122909
0.453790 0.225493 4.117984e+17 17.614685 -1.048882e-04 7.863783e+17 17.895632 1.220746e+14 14.086625 0.119068
0.453990 0.228214 5.355751e+17 17.728820 -1.172471e-04 8.029817e+17 17.904706 1.215961e+14 14.084920 0.115639
0.454190 0.230935 6.599447e+17 17.819508 -1.288870e-04 8.209583e+17 17.914321 1.212094e+14 14.083536 0.112574
0.454390 0.233656 7.852037e+17 17.894982 -1.398047e-04 8.403246e+17 17.924447 1.209128e+14 14.082472 0.109831
0.454590 0.236377 9.116486e+17 17.959827 -1.500032e-04 8.610984e+17 17.935053 1.207047e+14 14.081724 0.107376
0.454790 0.239098 1.039279e+18 18.016732 -1.594902e-04 8.832988e+17 17.946108 1.205832e+14 14.081287 0.105177
0.454990 0.241820 1.168393e+18 18.067589 -1.682783e-04 9.069462e+17 17.957582 1.205469e+14 14.081156 0.103207
0.455190 0.244541 1.299285e+18 18.113704 -1.763841e-04 9.320619e+17 17.969445 1.205940e+14 14.081326 0.101443
0.455390 0.247262 1.432104e+18 18.155974 -1.838271e-04 9.586686e+17 17.981669 1.207232e+14 14.081791 0.099865
0.455590 0.249983 1.567146e+18 18.195110 -1.906298e-04 9.867900e+17 17.994225 1.209327e+14 14.082544 0.098453
0.455790 0.252704 1.704561e+18 18.231612 -1.968169e-04 1.016451e+18 18.007086 1.212211e+14 14.083578 0.097194
0.455990 0.255425 1.844495e+18 18.265877 -2.024143e-04 1.047676e+18 18.020227 1.215869e+14 14.084887 0.096071
